id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,This is a normal comment.,0,0,0,0,0,0
1,This comment is toxic and insulting you idiot!,1,0,0,0,1,0
2,I hate all people from your country.,1,0,0,0,1,1
3,I will find you and hurt you and leave a bad comment.,1,1,0,1,1,0
4,This comment contains some bad words like shit.,1,0,1,0,0,0
5,What a beautiful comment today!,0,0,0,0,0,0
6,The food was amazing at that restaurant.,0,0,0,0,0,0
7,You're all stupid idiots.,1,0,0,0,1,0
8,I'm going to kill you.,1,1,0,1,1,0
9,People like you should not exist.,1,0,0,0,1,0
10,The service was excellent.,0,0,0,0,0,0
11,F**k off you piece of s**t.,1,1,1,0,1,0
12,I really enjoyed the comment.,0,0,0,0,0,0
13,All members of that religion are terrorists.,1,0,0,0,1,1
14,Thanks for your help!,0,0,0,0,0,0
15,I hope you die.,1,1,0,1,1,0
16,Women shouldn't be allowed to vote.,1,0,0,0,1,1
17,Have a nice day everyone!,0,0,0,0,0,0
18,You're an absolute moron.,1,0,0,0,1,0
19,The president is doing a great job.,0,0,0,0,0,0